CPUs available: 56
Disorder size: None
Unoptimised score: 24.09023936898891
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=648028, Thu Mar 20 18:26:41 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
  196  10976 1.788503204092723e+01 2.5e+00 1.10e-04  6e-05  1e-04 2071:09.0
  197  11032 1.788503204093148e+01 2.7e+00 1.02e-04  6e-05  9e-05 2081:44.4
  198  11088 1.788503204092860e+01 2.7e+00 1.05e-04  6e-05  1e-04 2092:17.8
  199  11144 1.788503204092853e+01 3.1e+00 1.03e-04  5e-05  9e-05 2102:55.6
  200  11200 1.788503204092677e+01 3.2e+00 1.08e-04  5e-05  9e-05 2113:32.8
  201  11256 1.788503204092935e+01 3.3e+00 9.03e-05  4e-05  7e-05 2124:02.9
  202  11312 1.788503204092413e+01 3.2e+00 8.58e-05  4e-05  7e-05 2134:38.6
  203  11368 1.788503204092940e+01 3.4e+00 9.18e-05  4e-05  7e-05 2145:10.4
  204  11424 1.788503204092786e+01 3.5e+00 8.60e-05  3e-05  7e-05 2155:44.4
  205  11480 1.788503204092714e+01 3.8e+00 9.44e-05  3e-05  8e-05 2166:21.3
  206  11536 1.788503204092562e+01 4.1e+00 9.16e-05  3e-05  8e-05 2176:54.3
  207  11592 1.788503204092341e+01 4.5e+00 8.25e-05  3e-05  7e-05 2187:27.8
  208  11648 1.788503204092404e+01 4.5e+00 7.95e-05  2e-05  7e-05 2198:00.7
  209  11704 1.788503204092288e+01 4.8e+00 6.99e-05  2e-05  6e-05 2208:33.9
  210  11760 1.788503204092367e+01 5.1e+00 6.33e-05  2e-05  5e-05 2219:08.1
  211  11816 1.788503204092228e+01 4.9e+00 6.13e-05  2e-05  5e-05 2229:44.5
  212  11872 1.788503204092308e+01 5.2e+00 6.29e-05  2e-05  5e-05 2240:18.9
  213  11928 1.788503204092514e+01 4.9e+00 5.97e-05  2e-05  4e-05 2250:56.1
  214  11984 1.788503204092014e+01 5.2e+00 6.04e-05  2e-05  4e-05 2261:30.7
  215  12040 1.788503204092344e+01 5.3e+00 6.11e-05  2e-05  4e-05 2272:03.9
  216  12096 1.788503204092329e+01 5.6e+00 6.00e-05  1e-05  4e-05 2282:37.5
  217  12152 1.788503204092305e+01 5.9e+00 5.61e-05  1e-05  4e-05 2293:09.3
  218  12208 1.788503204092159e+01 5.9e+00 5.43e-05  1e-05  4e-05 2303:46.1
  219  12264 1.788503204092207e+01 6.5e+00 5.17e-05  1e-05  4e-05 2314:21.8
  220  12320 1.788503204092098e+01 6.9e+00 5.32e-05  1e-05  4e-05 2324:57.7
  221  12376 1.788503204092249e+01 7.4e+00 5.54e-05  1e-05  4e-05 2335:31.8
  222  12432 1.788503204092450e+01 7.5e+00 6.07e-05  1e-05  4e-05 2346:05.5
  223  12488 1.788503204091640e+01 7.5e+00 5.66e-05  1e-05  4e-05 2356:38.7
  224  12544 1.788503204092391e+01 7.2e+00 5.57e-05  1e-05  4e-05 2367:12.3
  225  12600 1.788503204092382e+01 8.1e+00 5.57e-05  1e-05  4e-05 2377:45.5
  226  12656 1.788503204092363e+01 8.4e+00 5.50e-05  1e-05  4e-05 2388:17.4
  227  12712 1.788503204092279e+01 8.8e+00 5.84e-05  1e-05  4e-05 2398:50.6
  228  12768 1.788503204092535e+01 9.4e+00 5.72e-05  1e-05  4e-05 2409:26.0
  229  12824 1.788503204092024e+01 9.8e+00 5.40e-05  1e-05  4e-05 2419:58.0
  230  12880 1.788503204092351e+01 9.9e+00 5.03e-05  1e-05  3e-05 2430:34.8
  231  12936 1.788503204092115e+01 1.1e+01 4.95e-05  1e-05  3e-05 2441:08.6
  232  12992 1.788503204092463e+01 1.1e+01 4.74e-05  1e-05  3e-05 2451:41.6
  233  13048 1.788503204092420e+01 1.1e+01 5.00e-05  1e-05  3e-05 2462:14.2
  234  13104 1.788503204092341e+01 1.0e+01 5.04e-05  1e-05  3e-05 2472:48.0
  235  13160 1.788503204092770e+01 9.6e+00 5.28e-05  1e-05  3e-05 2483:20.8
  236  13216 1.788503204092228e+01 1.0e+01 5.03e-05  1e-05  3e-05 2493:54.4
  237  13272 1.788503204092563e+01 1.1e+01 4.70e-05  1e-05  3e-05 2504:27.9
  238  13328 1.788503204092216e+01 1.1e+01 5.16e-05  1e-05  3e-05 2515:00.4
  239  13384 1.788503204092483e+01 1.2e+01 5.50e-05  1e-05  3e-05 2525:31.0
  240  13440 1.788503204092482e+01 1.2e+01 6.20e-05  2e-05  4e-05 2536:03.6
  241  13496 1.788503204092438e+01 1.3e+01 5.75e-05  1e-05  4e-05 2546:37.8
