CPUs available: 56
Disorder: (0.0005, 30)
Disorder size: 30
Unoptimised score: 23.10418081243911
(28_w,56)-aCMA-ES (mu_w=15.5,w_1=12%) in dimension 8 (seed=976475, Tue Mar 25 04:17:24 2025)
Iterat Nfevals  function value    axis ratio maxstd  minstd
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
  185  10360 1.775239045803727e+01 5.6e+04 2.09e-04  2e-08  1e-06 2221:24.4
  186  10416 1.775239045814823e+01 6.5e+04 1.84e-04  2e-08  9e-07 2233:23.5
  187  10472 1.775239045785848e+01 6.6e+04 1.72e-04  2e-08  8e-07 2245:26.0
  188  10528 1.775239045795537e+01 7.3e+04 1.76e-04  2e-08  9e-07 2257:26.6
  189  10584 1.775239045782536e+01 8.4e+04 1.59e-04  2e-08  8e-07 2269:29.4
  190  10640 1.775239045768343e+01 9.0e+04 1.41e-04  1e-08  7e-07 2281:29.8
  191  10696 1.775239045760692e+01 1.1e+05 1.36e-04  1e-08  7e-07 2293:27.4
  192  10752 1.775239045759034e+01 1.1e+05 1.29e-04  1e-08  6e-07 2305:27.6
  193  10808 1.775239045758085e+01 1.1e+05 1.15e-04  1e-08  5e-07 2317:26.4
  194  10864 1.775239045752256e+01 1.2e+05 1.13e-04  9e-09  5e-07 2329:24.1
  195  10920 1.775239045745789e+01 1.3e+05 1.16e-04  1e-08  5e-07 2341:23.7
  196  10976 1.775239045745749e+01 1.4e+05 1.06e-04  9e-09  5e-07 2353:24.7
  197  11032 1.775239045736740e+01 1.6e+05 8.87e-05  8e-09  4e-07 2365:22.8
  198  11088 1.775239045735794e+01 1.8e+05 7.96e-05  7e-09  4e-07 2377:23.5
  199  11144 1.775239045737081e+01 1.9e+05 7.66e-05  7e-09  4e-07 2389:21.0
  200  11200 1.775239045738051e+01 2.1e+05 6.72e-05  6e-09  3e-07 2401:18.5
  201  11256 1.775239045735890e+01 2.2e+05 6.17e-05  5e-09  3e-07 2413:20.8
  202  11312 1.775239045733004e+01 2.2e+05 5.81e-05  4e-09  2e-07 2425:20.1
  203  11368 1.775239045732101e+01 2.3e+05 5.04e-05  4e-09  2e-07 2437:22.4
  204  11424 1.775239045732208e+01 2.3e+05 5.13e-05  4e-09  2e-07 2449:19.4
  205  11480 1.775239045730266e+01 2.6e+05 4.74e-05  3e-09  2e-07 2461:19.7
  206  11536 1.775239045731363e+01 2.8e+05 4.40e-05  3e-09  2e-07 2473:18.7
  207  11592 1.775239045731103e+01 3.1e+05 3.85e-05  3e-09  1e-07 2485:19.9
  208  11648 1.775239045731215e+01 3.0e+05 3.74e-05  2e-09  1e-07 2497:20.2
  209  11704 1.775239045730393e+01 3.1e+05 3.45e-05  2e-09  1e-07 2509:18.0
  210  11760 1.775239045729777e+01 3.7e+05 3.17e-05  2e-09  1e-07 2521:19.3
  211  11816 1.775239045728875e+01 3.8e+05 3.21e-05  2e-09  1e-07 2533:21.3
  212  11872 1.775239045728769e+01 3.9e+05 2.90e-05  2e-09  9e-08 2545:26.2
  213  11928 1.775239045728909e+01 4.0e+05 2.70e-05  2e-09  8e-08 2557:26.6
  214  11984 1.775239045728705e+01 4.2e+05 2.50e-05  1e-09  7e-08 2569:27.1
  215  12040 1.775239045729042e+01 4.0e+05 2.43e-05  1e-09  7e-08 2581:26.7
  216  12096 1.775239045728413e+01 4.4e+05 2.13e-05  1e-09  7e-08 2593:26.5
  217  12152 1.775239045728319e+01 4.7e+05 2.04e-05  1e-09  6e-08 2605:27.8
  218  12208 1.775239045728385e+01 5.2e+05 1.95e-05  1e-09  7e-08 2617:28.0
  219  12264 1.775239045728397e+01 6.3e+05 1.79e-05  1e-09  6e-08 2629:28.5
  220  12320 1.775239045728690e+01 6.6e+05 1.61e-05  1e-09  5e-08 2641:29.5
  221  12376 1.775239045728398e+01 6.0e+05 1.51e-05  9e-10  5e-08 2653:29.0
  222  12432 1.775239045728261e+01 6.2e+05 1.38e-05  8e-10  4e-08 2665:28.0
  223  12488 1.775239045728322e+01 6.8e+05 1.34e-05  8e-10  4e-08 2677:30.1
  224  12544 1.775239045728090e+01 7.6e+05 1.21e-05  7e-10  4e-08 2689:28.2
  225  12600 1.775239045728243e+01 7.4e+05 1.21e-05  7e-10  4e-08 2701:32.0
  226  12656 1.775239045728153e+01 8.3e+05 1.20e-05  7e-10  4e-08 2713:29.8
  227  12712 1.775239045727668e+01 9.1e+05 1.20e-05  7e-10  4e-08 2725:27.6
  228  12768 1.775239045727993e+01 9.1e+05 1.17e-05  7e-10  4e-08 2737:28.8
  229  12824 1.775239045728228e+01 9.5e+05 1.23e-05  7e-10  4e-08 2749:31.9
  230  12880 1.775239045728231e+01 9.1e+05 1.21e-05  7e-10  4e-08 2761:33.5
  231  12936 1.775239045727921e+01 9.9e+05 1.33e-05  7e-10  4e-08 2773:34.8
  232  12992 1.775239045727717e+01 9.5e+05 1.34e-05  7e-10  4e-08 2785:34.5
  233  13048 1.775239045728143e+01 9.2e+05 1.32e-05  7e-10  4e-08 2797:33.8
  234  13104 1.775239045727998e+01 9.3e+05 1.41e-05  7e-10  4e-08 2809:32.9
  235  13160 1.775239045728016e+01 9.5e+05 1.32e-05  7e-10  4e-08 2821:34.8
  236  13216 1.775239045728006e+01 9.7e+05 1.28e-05  6e-10  4e-08 2833:31.9
  237  13272 1.775239045728225e+01 8.6e+05 1.35e-05  7e-10  4e-08 2845:30.7
  238  13328 1.775239045728301e+01 8.9e+05 1.38e-05  7e-10  4e-08 2857:29.1
  239  13384 1.775239045728093e+01 9.5e+05 1.29e-05  7e-10  4e-08 2869:27.8
  240  13440 1.775239045727532e+01 9.7e+05 1.29e-05  7e-10  4e-08 2881:28.9
termination on timeout=172800
final/bestever f-value = 1.775239e+01 1.775239e+01 after 13440/13433 evaluations
incumbent solution: [0.13471700047827043, 0.13220182825507648, 0.6331736905538429, -0.5931367629216325, -0.5653294970855658, -0.35325177190935686, -0.38951997048367487, -0.8994304662282996]
std deviation: [2.3128326368680383e-08, 1.7940685554330502e-09, 3.696683529112341e-08, 3.52562126561061e-08, 1.133872975593444e-08, 6.783708294826641e-10, 3.445657935166232e-08, 2.0099981004814223e-08]
